-16.002227171492205 ± 0.0828567318614491,239.5,14.966666666666667,1.525,0.10189309576837416 ± 0.000606395801608127,-19.0723422644771 ± 1.3631653116310525
-16.306620209059233 ± 0.10908230037999735,187.2,11.479999999999999,0.3472222222222222,0.030245838172667443 ± 0.000540926265409991,59.53427794458213 ± 1.3893908801496009
-16.345693779904305 ± 0.11248454705707288,182.2,11.146666666666665,0.385,0.03453947368421054 ± 0.0005725100730294637,64.57335151542719 ± 1.3927931268266762
-16.387176325524045 ± 0.11610546113017528,177.2,10.813333333333333,0.4025,0.03722256473489519 ± 0.000600083470042769,69.61483406104693 ± 1.3964140408997787
-16.431297709923665 ± 0.1199667851523804,172.2,10.479999999999999,0.413125,0.039420324427480925 ± 0.0006275584901812251,74.65895544544654 ± 1.400275364921984
-16.47831800262812 ± 0.12409323785530141,167.2,10.146666666666665,0.42875,0.04225525624178713 ± 0.0006593505502304356,79.70597573815101 ± 1.404401817624905
-16.528532608695652 ± 0.12851304052457468,162.2,9.813333333333333,0.4475,0.04560122282608696 ± 0.0006953854191280718,84.75619034421854 ± 1.4088216202941781
-16.582278481012658 ± 0.1332585589916146,157.2,9.479999999999999,0.45625,0.0481276371308017 ± 0.000730496359201695,89.80993621653553 ± 1.413567138761218
-16.6399416909621 ± 0.13836709194298297,152.2,9.146666666666667,0.479375,0.052409803206997084 ± 0.0007758446204387628,94.86759942648499 ± 1.4186756717125864
-16.70196671709531 ± 0.14388184591722533,147.2,8.813333333333333,0.4875,0.055313918305597586 ± 0.0008183687668937863,99.92962445261819 ± 1.4241904256868287
