-16.002227171492205 ± 0.0828567318614491,239.5,14.966666666666667,0.67,0.04476614699331849 ± 0.00045371798750998266,-22.0723422644771 ± 1.3631653116310525
-16.306620209059233 ± 0.10908230037999735,187.2,11.479999999999999,0.768,0.06689895470383277 ± 0.0006686374728356542,59.53427794458213 ± 1.3893908801496009
-16.345693779904305 ± 0.11248454705707288,182.2,11.146666666666665,0.8150000000000001,0.073116028708134 ± 0.000710942686751677,64.57335151542719 ± 1.3927931268266762
-16.387176325524045 ± 0.11610546113017528,177.2,10.813333333333333,0.852,0.07879161528976572 ± 0.0007538530775207117,69.61483406104693 ± 1.3964140408997787
-16.431297709923665 ± 0.1199667851523804,172.2,10.479999999999999,0.901,0.0859732824427481 ± 0.0008052415360410234,74.65895544544654 ± 1.400275364921984
-16.47831800262812 ± 0.12409323785530141,167.2,10.146666666666665,0.9349999999999999,0.09214848883048621 ± 0.0008560387207509313,79.70597573815101 ± 1.404401817624905
-16.528532608695652 ± 0.12851304052457468,162.2,9.813333333333333,0.968,0.09864130434782609 ± 0.0009115814035916824,84.75619034421854 ± 1.4088216202941781
-16.582278481012658 ± 0.1332585589916146,157.2,9.479999999999999,0.993,0.10474683544303799 ± 0.000969395930139401,89.80993621653553 ± 1.413567138761218
-16.6399416909621 ± 0.13836709194298297,152.2,9.146666666666667,1.012,0.11064139941690962 ± 0.001030501746721179,94.86759942648499 ± 1.4186756717125864
-16.70196671709531 ± 0.14388184591722533,147.2,8.813333333333333,1.032,0.11709531013615736 ± 0.0010987684272442846,99.92962445261819 ± 1.4241904256868287
