-16.002227171492205 ± 0.0828567318614491,239.5,14.966666666666667,1.235,0.08251670378619154 ± 0.0005546103441947213,-20.0723422644771 ± 1.3631653116310525
-16.306620209059233 ± 0.10908230037999735,187.2,11.479999999999999,0.4466666666666666,0.038908246225319396 ± 0.0005711088718652244,59.53427794458213 ± 1.3893908801496009
-16.345693779904305 ± 0.11248454705707288,182.2,11.146666666666665,0.456875,0.040987589712918666 ± 0.0005956492453812871,64.57335151542719 ± 1.3927931268266762
-16.387176325524045 ± 0.11610546113017528,177.2,10.813333333333333,0.4925,0.04554562268803946 ± 0.0006308716005722792,69.61483406104693 ± 1.3964140408997787
-16.431297709923665 ± 0.1199667851523804,172.2,10.479999999999999,0.523125,0.049916507633587785 ± 0.000667620258143465,74.65895544544654 ± 1.400275364921984
-16.47831800262812 ± 0.12409323785530141,167.2,10.146666666666665,0.53125,0.052357095926412626 ± 0.0006991738341382891,79.70597573815101 ± 1.404401817624905
-16.528532608695652 ± 0.12851304052457468,162.2,9.813333333333333,0.553125,0.056364639945652176 ± 0.0007392580432567344,84.75619034421854 ± 1.4088216202941781
-16.582278481012658 ± 0.1332585589916146,157.2,9.479999999999999,0.565625,0.059665084388185664 ± 0.0007791775712581675,89.80993621653553 ± 1.413567138761218
-16.6399416909621 ± 0.13836709194298297,152.2,9.146666666666667,0.57875,0.06327441690962099 ± 0.0008233575083511122,94.86759942648499 ± 1.4186756717125864
-16.70196671709531 ± 0.14388184591722533,147.2,8.813333333333333,0.58375,0.06623487140695916 ± 0.0008679343634203896,99.92962445261819 ± 1.4241904256868287
