-16.00 ± 0.08,239.5 ± 0.6,14.97 ± 0.04,0.670 ± 0.005,0.0448 ± 0.0005,-22.1 ± 1.4
-16.31 ± 0.11,187.2 ± 0.6,11.48 ± 0.04,0.768 ± 0.005,0.0669 ± 0.0007,59.5 ± 1.4
-16.35 ± 0.11,182.2 ± 0.6,11.15 ± 0.04,0.815 ± 0.005,0.0731 ± 0.0007,64.6 ± 1.4
-16.39 ± 0.12,177.2 ± 0.6,10.81 ± 0.04,0.852 ± 0.005,0.0788 ± 0.0008,69.6 ± 1.4
-16.43 ± 0.12,172.2 ± 0.6,10.48 ± 0.04,0.901 ± 0.005,0.0860 ± 0.0008,74.7 ± 1.4
-16.48 ± 0.12,167.2 ± 0.6,10.15 ± 0.04,0.935 ± 0.005,0.0921 ± 0.0009,79.7 ± 1.4
-16.53 ± 0.13,162.2 ± 0.6,9.81 ± 0.04,0.968 ± 0.005,0.0986 ± 0.0009,84.8 ± 1.4
-16.58 ± 0.13,157.2 ± 0.6,9.48 ± 0.04,0.993 ± 0.005,0.1047 ± 0.0010,89.8 ± 1.4
-16.64 ± 0.14,152.2 ± 0.6,9.15 ± 0.04,1.012 ± 0.005,0.1106 ± 0.0010,94.9 ± 1.4
-16.70 ± 0.14,147.2 ± 0.6,8.81 ± 0.04,1.032 ± 0.005,0.1171 ± 0.0011,99.9 ± 1.4
