-16.00 ± 0.08,239.5 ± 0.6,14.97 ± 0.04,1.525 ± 0.005,0.1019 ± 0.0006,-19.1 ± 1.4
-16.31 ± 0.11,187.2 ± 0.6,11.48 ± 0.04,0.347 ± 0.005,0.0302 ± 0.0005,59.5 ± 1.4
-16.35 ± 0.11,182.2 ± 0.6,11.15 ± 0.04,0.385 ± 0.005,0.0345 ± 0.0006,64.6 ± 1.4
-16.39 ± 0.12,177.2 ± 0.6,10.81 ± 0.04,0.403 ± 0.005,0.0372 ± 0.0006,69.6 ± 1.4
-16.43 ± 0.12,172.2 ± 0.6,10.48 ± 0.04,0.413 ± 0.005,0.0394 ± 0.0006,74.7 ± 1.4
-16.48 ± 0.12,167.2 ± 0.6,10.15 ± 0.04,0.429 ± 0.005,0.0423 ± 0.0007,79.7 ± 1.4
-16.53 ± 0.13,162.2 ± 0.6,9.81 ± 0.04,0.448 ± 0.005,0.0456 ± 0.0007,84.8 ± 1.4
-16.58 ± 0.13,157.2 ± 0.6,9.48 ± 0.04,0.456 ± 0.005,0.0481 ± 0.0007,89.8 ± 1.4
-16.64 ± 0.14,152.2 ± 0.6,9.15 ± 0.04,0.479 ± 0.005,0.0524 ± 0.0008,94.9 ± 1.4
-16.70 ± 0.14,147.2 ± 0.6,8.81 ± 0.04,0.488 ± 0.005,0.0553 ± 0.0008,99.9 ± 1.4
