59.4,0.019 ± 0.005
59.3,0.019 ± 0.005
59.2,0.019 ± 0.005
59.1,0.019 ± 0.005
59.0,0.019 ± 0.005
58.9,0.019 ± 0.005
58.8,0.019 ± 0.005
58.7,0.018 ± 0.005
58.6,0.018 ± 0.005
58.5,0.018 ± 0.005
58.4,0.018 ± 0.005
58.3,0.018 ± 0.005
58.2,0.018 ± 0.005
58.1,0.018 ± 0.005
58.0,0.017 ± 0.005
57.9,0.017 ± 0.005
57.8,0.017 ± 0.005
57.7,0.017 ± 0.005
57.6,0.017 ± 0.004
57.5,0.017 ± 0.004
57.4,0.016 ± 0.004
57.3,0.016 ± 0.004
57.2,0.016 ± 0.004
57.1,0.016 ± 0.004
57.0,0.016 ± 0.004
56.9,0.015 ± 0.004
56.8,0.015 ± 0.004
56.7,0.015 ± 0.004
56.6,0.015 ± 0.004
56.5,0.015 ± 0.004
56.4,0.014 ± 0.004
56.3,0.014 ± 0.004
56.2,0.014 ± 0.004
56.1,0.014 ± 0.004
56.0,0.013 ± 0.004
55.9,0.013 ± 0.004
55.8,0.013 ± 0.003
55.7,0.013 ± 0.003
55.6,0.012 ± 0.003
55.5,0.012 ± 0.003
55.4,0.012 ± 0.003
55.3,0.012 ± 0.003
55.2,0.011 ± 0.003
55.1,0.011 ± 0.003
55.0,0.011 ± 0.003
54.9,0.011 ± 0.003
54.8,0.010 ± 0.003
54.7,0.010 ± 0.003
54.6,0.10 ± 0.03
54.5,0.10 ± 0.03
54.4,0.09 ± 0.03
54.3,0.091 ± 0.024
54.2,0.088 ± 0.024
54.1,0.085 ± 0.023
54.0,0.082 ± 0.022
53.9,0.080 ± 0.021
53.8,0.077 ± 0.021
53.7,0.074 ± 0.020
53.6,0.071 ± 0.019
53.5,0.068 ± 0.018
53.4,0.065 ± 0.018
53.3,0.062 ± 0.017
53.2,0.059 ± 0.016
53.1,0.056 ± 0.015
53.0,0.052 ± 0.014
52.9,0.050 ± 0.013
52.8,0.047 ± 0.013
52.7,0.043 ± 0.012
52.6,0.040 ± 0.011
52.5,0.036 ± 0.010
52.4,0.033 ± 0.009
52.2,0.031 ± 0.008
52.1,0.029 ± 0.008
52.0,0.025 ± 0.007
51.9,0.022 ± 0.006
51.8,0.019 ± 0.005
